Name        Id          Mean(keV)      Sigma(keV)     Mean+2Sigma    Mean+3Sigma    Mean+5Sigma    
Si2_35      16777250    -27.209        3.26508        -20.6788       -17.4137       -10.8836       
Si2_36      16777251    -19.5839       2.95123        -13.6815       -10.7302       -4.82778       
Si2_37      16777252    -22.7276       3.38724        -15.9531       -12.5659       -5.79138       
Si2_38      16777253    -6.56438       2.85212        -0.860152      1.99196        7.6962         
Si2_39      16777254    -21.6803       3.12243        -15.4354       -12.313        -6.06815       
Si2_40      16777255    -16.8779       2.75624        -11.3655       -8.60921       -3.09673       
Si2_41      16777256    -23.9866       3.4137         -17.1592       -13.7455       -6.91809       
Si2_42      16777257    -20.7535       2.91023        -14.9331       -12.0228       -6.20239       
Si2_43      16777258    -15.0067       3.3273         -8.3521        -5.0248        1.62979        
Si2_44      16777259    -18.3409       2.93557        -12.4698       -9.53421       -3.66307       
Si2_45      16777260    -9.46399       3.53794        -2.38811       1.14982        8.2257         
Si2_46      16777261    -4.70128       3.14925        1.59722        4.74647        11.045         
Si2_47      16777262    -15.4861       3.41934        -8.64748       -5.22814       1.61053        
Si2_48      16777263    -18.5057       3.06061        -12.3845       -9.32392       -3.20271       
Si2_49      16777264    2.31128        3.76427        9.83982        13.6041        21.1326        
Si2_50      16777265    8.12078        3.6701         15.461         19.1311        26.4713        
Si2_51      16777266    -11.7635       3.90532        -3.95291       -0.0475932     7.76304        
Si2_52      16777267    -21.2667       3.42544        -14.4158       -10.9904       -4.13952       
Si2_53      16777268    -1.74405       3.99016        6.23628        10.2264        18.2068        
Si2_54      16777269    -0.423483      3.50177        6.58005        10.0818        17.0853        
Si2_55      16777270    -7.90369       3.91811        -0.0674634     3.85065        11.6869        
Si2_56      16777271    11.6085        3.37633        18.3611        21.7375        28.4901        
Si2_57      16777272    3.79272        4.27362        12.34          16.6136        25.1608        
Si2_58      16777273    8.44029        4.0336         16.5075        20.5411        28.6083        
Si2_59      16777274    5.88414        4.09799        14.0801        18.1781        26.3741        
Si2_60      16777275    7.15256        3.40672        13.966         17.3727        24.1862        
Si2_61      16777276    2.00999        3.89395        9.7979         13.6919        21.4798        
Si2_62      16777277    5.7937         3.4548         12.7033        16.1581        23.0677        
Si2_63      16777278    -1.62154       3.74136        5.86118        9.60254        17.0853        
Si2_64      16777279    9.95651        3.32168        16.5999        19.9215        26.5649        
Ge1_1       33554432    73.2648        3.68484        80.6345        84.3193        91.689         
Ge1_2       33554433    86.322         4.04565        94.4133        98.4589        106.55         
Ge1_3       33554434    74.0193        3.55505        81.1294        84.6844        91.7945        
Ge1_4       33554435    55.917         3.87401        63.6651        67.5391        75.2871        
Ge1_5       33554436    88.6651        3.72484        96.1147        99.8396        107.289        
Ge1_6       33554437    78.2794        4.22161        86.7226        90.9442        99.3875        
Ge1_7       33554438    96.7126        3.93205        104.577        108.509        116.373        
Ge1_8       33554439    92.0397        4.28446        100.609        104.893        113.462        
Ge1_9       33554440    87.7598        3.5592         94.8782        98.4373        105.556        
Ge1_10      33554441    73.5261        4.38498        82.2961        86.681         95.451         
Ge1_11      33554442    66.2619        3.41296        73.0879        76.5008        83.3268        
Ge1_12      33554443    50.049         3.98787        58.0247        62.0126        69.9883        
Ge1_13      33554444    99.1952        4.67457        108.544        113.219        122.568        
Ge1_14      33554445    80.7844        5.20036        91.1851        96.3855        106.786        
Ge1_15      33554446    73.4597        4.13399        81.7277        85.8617        94.1297        
Ge1_16      33554447    75.833         5.21368        86.2603        91.474         101.901        
Ge1_17      33554448    80.7559        4.29023        89.3364        93.6266        102.207        
Ge1_18      33554449    66.7536        5.06101        76.8756        81.9367        92.0587        
Ge1_19      33554450    84.6754        4.3003         93.2759        97.5762        106.177        
