Name        Id          AdcToE_p0   AdcToE_p1
Ge2_11 50331658 -129.312 6.53659
Ge2_12 50331659 -97.3712 6.68264
Ge2_13 50331660 -119.958 6.74626
Ge2_14 50331661 -143.355 6.53067
Ge2_15 50331662 -102.94 6.67261
Ge2_16 50331663 -81.4233 6.84182
Ge2_17 50331664 -127.053 8.19231
Ge2_18 50331665 -109.442 8.31586
Ge2_19 50331666 -107.696 8.1239
Ge2_20 50331667 -112.592 8.34923
Ge2_21 50331668 -126.312 8.33036
Ge2_22 50331669 -66.7292 8.37566
Ge2_23 50331670 -124.276 8.302
Ge2_24 50331671 -124.84 8.10412
Ge2_25 50331672 -179.636 10.2015
Ge2_26 50331673 -156.343 10.3927
Ge2_27 50331674 -173.621 10.1919
Ge2_28 50331675 -147.238 10.1901
Ge2_29 50331676 -136.094 10.3534
Ge2_30 50331677 -99.1191 10.2782
Ge2_31 50331678 -111.007 10.2604
Ge2_32 50331679 -82.3075 10.1199
