Name        Id          AdcToE_p0   AdcToE_p1   EToAdc_p0   EToAdc_p1   
Si2_55      16777270    -66.9123    1.66846     40.1042     0.599355    
Si2_56      16777271    -53.8822    1.74299     30.9136     0.573727    
Si2_57      16777272    -66.4736    1.671       39.7807     0.598444    
Si2_58      16777273    -61.5427    1.72751     35.6251     0.578868    
Si2_59      16777274    -68.2947    1.73488     39.3658     0.57641     
Si2_60      16777275    -57.0262    1.70723     33.4027     0.585743    
Si2_61      16777276    -70.0941    1.68021     41.7174     0.595162    
Si2_62      16777277    -68.4871    1.77523     38.5793     0.563308    
Si2_63      16777278    -77.5454    1.74556     44.4245     0.572884    
Si2_64      16777279    -55.4961    1.74444     31.8132     0.573251    
Ge1_1       33554432    17.7549     1.63138     -10.8833    0.612977    
Ge1_2       33554433    8.70801     1.69796     -5.12852    0.588942    
Ge1_3       33554434    15.6665     1.76017     -8.90052    0.568126    
Ge1_4       33554435    3.51257     1.66743     -2.10658    0.599725    
Ge1_5       33554436    14.0785     2.14976     -6.54888    0.465169    
Ge1_6       33554437    -10.2481    2.07477     4.93941     0.481981    
Ge1_7       33554438    15.2768     2.13468     -7.15645    0.468454    
Ge1_8       33554439    1.51273     2.12007     -0.713527   0.471682    
Ge1_9       33554440    -4.46499    2.12098     2.10515     0.47148     
Ge1_10      33554441    -9.12738    2.16544     4.21502     0.4618      
Ge1_11      33554442    -5.89654    2.12103     2.78004     0.47147     
Ge1_12      33554443    -32.1676    2.13971     15.0336     0.467354    
Ge1_13      33554444    -47.1636    3.12949     15.0707     0.319541    
Ge1_14      33554445    -46.2599    3.09462     14.9485     0.323141    
Ge1_15      33554446    -59.8749    3.20542     18.6793     0.311972    
Ge1_16      33554447    -53.6544    3.16139     16.9718     0.316316    
Ge1_17      33554448    -18.3876    3.06962     5.99018     0.325773    
Ge1_18      33554449    -37.472     3.16681     11.8327     0.315776    
Ge1_19      33554450    -14.0809    3.19681     4.40466     0.312812    
Ge1_20      33554451    -46.1929    3.22905     14.3054     0.309688    
Ge1_21      33554452    -26.0152    3.66702     7.09436     0.272701    
Ge1_22      33554453    -49.2007    3.67828     13.376      0.271866    
Ge1_23      33554454    -44.4174    3.82643     11.6081     0.26134     
Ge1_24      33554455    -57.8796    3.64575     15.8759     0.274292    
Ge1_25      33554456    -50.8764    4.51417     11.2704     0.221525    
Ge1_26      33554457    -38.8949    4.52887     8.58822     0.220806    
Ge1_27      33554458    -18.93      4.63791     4.08158     0.215615    
Ge1_28      33554459    -71.8284    4.55815     15.7582     0.219387    
Ge1_29      33554460    7.2572      5.36884     -1.35173    0.18626     
Ge1_30      33554461    -41.5504    5.48294     7.57813     0.182384    
Ge1_31      33554462    12.8325     5.39724     -2.3776     0.18528     
Ge1_32      33554463    -37.0653    5.33485     6.94777     0.187447    
Ge2_1       50331648    -42.3235    5.46202     7.74869     0.183082    
Ge2_2       50331649    1.43744     5.50769     -0.260988   0.181564    
Ge2_3       50331650    -50.6687    5.51921     9.18042     0.181185    
Ge2_4       50331651    -27.0075    5.27631     5.11864     0.189527    
Ge2_5       50331652    -14.2713    5.43774     2.62449     0.1839      
Ge2_6       50331653    -49.6516    5.39295     9.20676     0.185427    
Ge2_7       50331654    -47.836     5.35531     8.93245     0.186731    
Ge2_8       50331655    -25.1614    5.46354     4.60533     0.183032    
Ge2_9       50331656    -80.5323    6.69477     12.0291     0.14937     
Ge2_10      50331657    -61.7921    6.72231     9.1921      0.148758    
Ge2_11      50331658    -111.286    6.51692     17.0765     0.153447    
Ge2_12      50331659    -82.8788    6.66434     12.4362     0.150052    
Ge2_13      50331660    -109.308    6.73402     16.2322     0.1485      
Ge2_14      50331661    -129.567    6.51517     19.8869     0.153488    
Ge2_15      50331662    -99.5351    6.66789     14.9275     0.149973    
Ge2_16      50331663    -67.4269    6.82118     9.88493     0.146602    
Ge2_17      50331664    -110.525    8.16354     13.5388     0.122496    
Ge2_18      50331665    -104.507    8.30437     12.5846     0.120419    
Ge2_19      50331666    -94.3932    8.10096     11.6521     0.123442    
Ge2_20      50331667    -99.333     8.32461     11.9325     0.120126    
Ge2_21      50331668    -119.267    8.31897     14.3367     0.120207    
Ge2_22      50331669    -55.8978    8.34846     6.69559     0.119783    
Ge2_23      50331670    -283.513    7.83491     36.1859     0.127634    
Ge2_24      50331671    -110.077    8.08002     13.6234     0.123762    
Ge2_25      50331672    -165.687    10.1759     16.2824     0.0982718   
Ge2_26      50331673    -154.202    10.3828     14.8517     0.0963132   
Ge2_27      50331674    -159.215    10.1617     15.6682     0.0984088   
Ge2_28      50331675    -150.462    10.1834     14.7752     0.0981987   
Ge2_29      50331676    -121.439    10.3244     11.7623     0.096858    
Ge2_30      50331677    -116.506    10.3008     11.3103     0.0970795   
Ge2_31      50331678    -99.5851    10.2321     9.73266     0.097732    
Ge2_32      50331679    -93.6508    10.1257     9.24885     0.0987589   
