Name        Id          Mean(keV)   Sigma       3Sigma      5Sigma      
Si2_56      16777271    19.0734     3.37152     10.1146     16.8576     
Si2_57      16777272    16.4919     4.26295     12.7889     21.3148     
Si2_58      16777273    20.6904     4.02484     12.0745     20.1242     
Si2_59      16777274    15.34       4.09086     12.2726     20.4543     
Si2_60      16777275    22.9266     3.39664     10.1899     16.9832     
Si2_61      16777276    9.26928     3.88886     11.6666     19.4443     
Si2_62      16777277    13.5733     3.44911     10.3473     17.2456     
Si2_63      16777278    4.54078     3.73674     11.2102     18.6837     
Si2_64      16777279    23.4642     3.31353     9.94059     16.5676     
Ge1_1       33554432    93.3291     3.67243     11.0173     18.3622     
Ge1_2       33554433    93.8969     4.04227     12.1268     20.2113     
Ge1_3       33554434    92.603      3.54516     10.6355     17.7258     
Ge1_4       33554435    84.1315     3.85515     11.5654     19.2757     
Ge1_5       33554436    110.691     3.71115     11.1335     18.5558     
Ge1_6       33554437    91.9393     4.21371     12.6411     21.0686     
Ge1_7       33554438    112.471     3.92224     11.7667     19.6112     
Ge1_8       33554439    105.604     4.27429     12.8229     21.3715     
Ge1_9       33554440    93.8569     3.5564      10.6692     17.782      
Ge1_10      33554441    90.2704     4.37276     13.1183     21.8638     
Ge1_11      33554442    85.9368     3.40092     10.2028     17.0046     
Ge1_12      33554443    63.0448     3.97577     11.9273     19.8789     
Ge1_13      33554444    109.467     4.66344     13.9903     23.3172     
Ge1_14      33554445    97.1234     5.17649     15.5295     25.8825     
Ge1_15      33554446    84.5257     4.12307     12.3692     20.6153     
Ge1_16      33554447    91.632      5.17712     15.5314     25.8856     
Ge1_17      33554448    93.9415     4.27948     12.8384     21.3974     
Ge1_18      33554449    85.5424     5.04308     15.1292     25.2154     
Ge1_19      33554450    99.5062     4.28826     12.8648     21.4413     
Ge1_20      33554451    71.4847     5.40301     16.209      27.015      
Ge1_21      33554452    105.122     4.58033     13.741      22.9016     
Ge1_22      33554453    88.7907     5.31052     15.9316     26.5526     
Ge1_23      33554454    89.0887     4.37992     13.1398     21.8996     
Ge1_24      33554455    72.3397     5.44431     16.3329     27.2215     
Ge1_25      33554456    87.9601     4.99877     14.9963     24.9938     
Ge1_26      33554457    127.357     6.96078     20.8823     34.8039     
Ge1_27      33554458    121.523     5.03816     15.1145     25.1908     
Ge1_28      33554459    95.7091     5.70986     17.1296     28.5493     
Ge1_29      33554460    170.314     5.33991     16.0197     26.6995     
Ge1_30      33554461    161.664     5.92031     17.7609     29.6016     
Ge1_31      33554462    186.732     5.50772     16.5232     27.5386     
Ge1_32      33554463    156.677     5.75689     17.2707     28.7844     
Ge2_1       50331648    202.814     6.87887     20.6366     34.3943     
Ge2_2       50331649    244.144     6.40583     19.2175     32.0291     
Ge2_3       50331650    189.321     6.79575     20.3872     33.9787     
Ge2_4       50331651    219.694     6.26192     18.7858     31.3096     
Ge2_5       50331652    230.623     6.5453      19.6359     32.7265     
Ge2_6       50331653    207.436     5.46834     16.405      27.3417     
Ge2_7       50331654    193.66      6.32789     18.9837     31.6394     
Ge2_8       50331655    228.849     5.69989     17.0997     28.4995     
Ge2_9       50331656    208.985     8.07175     24.2153     40.3588     
Ge2_10      50331657    233.303     6.96572     20.8972     34.8286     
Ge2_11      50331658    179.201     7.19787     21.5936     35.9894     
Ge2_12      50331659    219.124     7.31211     21.9363     36.5606     
