Name        Id          Range_low        Range_high       CB_mean      CB_sigma    CB_alpha1      CB_alpha2      CB_n1          CB_n2  
Si2_2       16777217    0.40             8.0              0.8025       0.07803     1.42785        5.18076        8.73219        7.55618
Si2_3       16777218    0.40             8.0              0.8575       0.08523     1.19628        1.91687        8.99999        10     
Si2_4       16777219    0.40             8.0              0.9375       0.08273     3.95885        5.0358         7.49826        9.9354 
Si2_5       16777220    0.40             8.0              1.0175       0.08430     1.44795        2.10499        8.99543        10     
Si2_6       16777221    0.40             8.0              1.0975       0.08498     1.71517        2.35554        8.9999         10     
Si2_7       16777222    0.40             8.0              1.1675       0.08688     1.46729        2.0000         5              9.99979
Si2_8       16777223    0.40             8.0              1.2525       0.08854     1.26761        2.04293        8.99997        10     
Si2_9       16777224    0.40             8.0              1.3475       0.08899     1.4211         4.843          8.9565         6.50718
Si2_10      16777225    0.40             8.0              1.4425       0.08992     1.42577        2.61202        8.99843        2.16604
Si2_11      16777226    0.40             8.0              1.5275       0.09044     1.39598        1.96449        8.99974        7.53323
Si2_12      16777227    0.40             8.0              1.6325       0.09102     1.45624        2.08964        8.99998        9.9999 
Si2_13      16777228    0.40             8.0              1.7225       0.09298     1.50887        1.96395        4.73859        6.60596
Si2_14      16777229    0.40             8.0              1.8275       0.09407     1.45343        2.10988        4.99996        9.99984
Si2_15      16777230    0.40             8.0              1.9375       0.09488     1.45294        2.10818        8.99952        6.00861
Si2_16      16777231    0.40             8.0              2.0325       0.09677     1.58496        2.11587        6.17756        6.43579
Si2_17      16777232    0.40             8.0              2.1525       0.09827     1.4669         2.04618        8.98756        10     
Si2_18      16777233    0.40             8.0              2.2675       0.09957     1.54576        2.22084        6.77965        4.70585
Si2_19      16777234    0.40             8.0              2.3775       0.10185     1.52961        2.06864        7.96486        9.99759
Si2_20      16777235    0.40             8.0              2.5025       0.10272     1.45265        2.32535        8.99078        5.51536
Si2_21      16777236    0.40             8.0              2.6275       0.10368     1.55861        2.23571        5.55892        5.5624 
Si2_22      16777237    0.40             8.0              2.7475       0.10527     1.518          2.10373        6.37567        8.9046 
Si2_23      16777238    0.40             8.0              2.8725       0.10870     1.51993        2.37018        8.9999         4.1227 
Si2_24      16777239    0.40             8.0              3.0075       0.10876     1.59366        2.17844        3.42325        6.67485
Si2_25      16777240    0.40             8.0              3.1375       0.11041     1.82904        2.53431        1.02836        3.33562
Si2_26      16777241    0.40             8.0              3.2825       0.11155     1.57414        2.13263        8.9997         9.99589
Si2_27      16777242    0.40             8.0              3.4125       0.11165     1.53648        2.03591        8.99863        9.99999
Si2_28      16777243    0.40             8.0              3.5575       0.11333     1.46075        2.26603        9              5.025  
Si2_29      16777244    0.40             8.0              3.7025       0.11509     1.64482        2.09402        7.51702        9.99945
Si2_30      16777245    0.40             8.0              3.8525       0.11669     1.63405        2.55775        3.87638        2.89279
Si2_31      16777246    0.40             8.0              4.0025       0.11745     1.66425        2.31393        8.99977        4.08322
Si2_32      16777247    0.40             8.0              4.1625       0.11929     1.66123        2.15729        8.99995        8.53045
Si2_33      16777248    0.40             8.0              4.2975       0.12010     1.58854        2.06305        5.00006        9.99999
Si2_34      16777249    0.40             8.0              4.4525       0.12191     1.70243        2.18243        8.41395        9.01067
Si2_35      16777250    0.40             8.0              4.6225       0.12434     1.70265        2.23743        5.0001         9.57701
Si2_36      16777251    0.40             8.0              4.7825       0.12301     1.65828        2.45004        7.10072        3.17056
Si2_37      16777252    0.40             8.0              4.9475       0.12826     1.67139        2.19409        5.00209        7.6998 
Si2_38      16777253    0.40             8.0              5.1225       0.12808     1.69596        2.24931        5.00903        9.26599
