Name        Id          Init_mean      Mean           Sigma          EvtNr          
Ge2_42      50331689    43.1905        43.1905        0.381842       89913.1        
Ge2_43      50331690    43.5848        43.5847        0.289776       67680.1        
Ge2_44      50331691    43.8613        43.8614        0.289776       157920         
Ge2_45      50331692    44.3729        44.3728        0.421857       156602         
Ge2_46      50331693    45.1055        45.1055        0.421857       138916         
Ge2_47      50331694    45.3633        45.3633        0.289205       47264.6        
Ge2_48      50331695    45.7873        45.7873        0.289205       110284         
Ge2_49      50331696    46.0582        46.058         0.301308       84957.2        
Ge2_50      50331697    46.6736        46.6735        0.301308       138441         
Ge2_51      50331698    47.0221        47.0221        0.324833       92708          
Ge2_52      50331699    47.6929        47.6929        0.324833       130397         
Ge2_53      50331700    48.0387        48.0386        0.302799       74810.7        
Ge2_54      50331701    48.5915        48.5915        0.302799       146412         
Ge2_55      50331702    48.9645        48.9645        0.339706       84769          
Ge2_56      50331703    49.6015        49.6015        0.339706       137867         
Ge2_57      50331704    50.016         50.016         0.282051       66392.9        
Ge2_58      50331705    50.4349        50.4349        0.282051       154917         
Ge2_59      50331706    50.8222        50.8223        0.395361       85314.8        
Ge2_60      50331707    51.5656        51.5655        0.395361       136692         
Ge2_61      50331708    51.9856        51.9855        0.321473       94135          
Ge2_62      50331709    52.8262        52.8267        0.321473       122620         
Ge2_63      50331710    52.9813        52.9831        0.321473       110784         
